Model,Category,Word,Instance_ID,Step,Description,Guess
gemma-2-9b-it,High-Freq Concrete,Apple,1,0,"This round, brightly colored fruit grows on a tree and has a smooth skin. It is known for its sweet taste and versatility in both savory and sweet dishes. 


Let me know if you'd like me to describe another object! 😊",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,2,0,"This vibrant, round fruit boasts a crisp texture and a sweet-tart flavor.  Its signature red skin often hides a juicy white flesh speckled with tiny seeds.


Let me know if you want to play again!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,3,0,"This vibrant fruit boasts a crisp, juicy flesh that comes in shades of red, green, and yellow.  Its sweet-tart flavor is enjoyed fresh, baked, or juiced.  


Let me know if you'd like me to describe another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,4,0,"This round, brightly colored fruit hangs from a tree and has a smooth skin.  It's often enjoyed fresh, baked into pies, or used to make delicious juice. 


Let me know if you'd like me to describe another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,5,0,"This fruit is known for its crisp texture and sweet, tart flavor.  It comes in various colors, often red or green, and grows on a deciduous tree. 


Let me know if you'd like me to describe another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,6,0,"This fruit is round and typically red, green, or yellow.  It has a crisp texture and a sweet, slightly tart flavor.  


Let me know if you'd like me to try describing another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,7,0,"This round, red fruit grows on a tree and is known for its sweet, crisp flesh. It is a popular snack and ingredient in many dishes, often associated with health benefits.  


Let me know if you'd like me to describe another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,8,0,"This fruit boasts a crisp, juicy flesh that comes in shades of red, green, and yellow. Its signature sweetness is often enjoyed fresh or baked into delectable treats.  


Let me know if you'd like me to describe another object! 🍎",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,9,0,"This round, red fruit hangs from a tree, its skin smooth and shiny.  It's known for its sweet, crisp taste and is often used in pies and sauces.",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,10,0,"This fruit is a beloved treat, known for its crisp texture and sweet-tart flavor.  It comes in a variety of colors, often red, green, or yellow, and is said to keep the doctor away.  


Let me know if you'd like me to describe another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,11,0,"This round, brightly colored fruit grows on a tree and is known for its sweet taste and crisp texture.  It's often associated with health and comes in a variety of hues, from vibrant red to pale green. 


Let me know if you'd like to play another guessing game!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,12,0,"This round, brightly colored fruit hangs from a tree and is known for its sweet, crisp flesh.  It's often associated with knowledge and temptation.


Let me know if you'd like to play again! 😊",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,13,0,"This round, smooth fruit boasts a vibrant red skin, sometimes tinged with green or yellow.  Its crisp flesh offers a sweet and tart flavor, enjoyed fresh or baked into delectable treats.",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,14,0,"This round fruit hangs from a tree and comes in various shades of red, green, and yellow. It's known for its sweet-tart flavor and is often used in both sweet and savory dishes.  


Let me know if you'd like to play again!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,15,0,"This fruit is known for its crisp texture and sweet, slightly tart flavor.  Often associated with the color red, it can also be found in shades of green and yellow. 


Let me know if you'd like to play another round!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,16,0,"This round, often red fruit hangs from a tree and is known for its crisp texture and sweet-tart flavor.  It's a popular snack and ingredient in both sweet and savory dishes. 


Let me know if you'd like me to describe another object!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,17,0,"This round, often red fruit grows on a tree and has a crisp texture with a sweet and tart flavor.  It's enjoyed both fresh and as an ingredient in various dishes and beverages.",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,18,0,"This sweet, round fruit is a beloved treat enjoyed by many.  Its red, green, or yellow skin often hides a crisp, juicy interior with a single core. 


Let me know if you'd like to try another guessing game!",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,19,0,"This sweet, round fruit comes in various colors and grows on a deciduous tree.  Its crisp texture and juicy flesh make it a popular snack enjoyed worldwide.",Apple
gemma-2-9b-it,High-Freq Concrete,Apple,20,0,"This round fruit comes in a variety of colors, from vibrant red to sunny yellow.  It is known for its sweet, crisp flesh and is enjoyed both fresh and in numerous culinary creations.",Apple
