Model,Category,Word,Instance_ID,Step,Description,Guess
llama-3.2-3b-instruct,High-Freq Concrete,Apple,1,0,"This popular fruit is typically round or oval in shape, with a thin, edible skin that varies in color from green to red to yellow, and is often associated with health benefits and being a popular snack. It's also known for its seeds on the inside and is often eaten fresh, used in pies and desserts, or made into juice and other products.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,2,0,"A popular, round, juicy fruit with a thin skin that comes in various colors such as red, green, and yellow, often eaten as a healthy snack or used to make desserts like pies and crisps. Its seeds are encased within a hard, leathery core, surrounded by a tender flesh that's rich in vitamins and antioxidants.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,3,0,"The fruit is a small, round or oval-shaped object with a thin, edible skin that comes in a variety of colors, including red, green, and yellow, and is often eaten as a healthy snack. It's typically grown on trees and is known for its sweet taste and juicy pulp surrounding a central seed.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,4,0,"A small, round, juicy fruit with a thin, edible skin that comes in various colors and is often eaten as a healthy snack or used in desserts and beverages. It's typically grown on trees and is widely cultivated and enjoyed worldwide for its sweet taste and numerous health benefits.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,5,0,"This popular, round fruit is widely consumed as a healthy snack and is often associated with the tech giant that bears its name. It's typically red, but can also be found in various other colors and varieties, and is a staple in many people's diets around the world.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,6,0,"This popular fruit is known for its crunchy texture and sweet taste, often eaten as a snack or used in various recipes, from salads to desserts. Its iconic shape, typically round with a stem attached, has made it a recognizable symbol of health and wellness worldwide.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,7,0,"This popular, rounded fruit is known for its vibrant red skin and juicy pulp, often eaten as a healthy snack or used in a variety of desserts and savory dishes. It's also the logo of a well-known technology company founded by Steve Jobs, Tim Cook, and other visionaries.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,8,0,"This popular fruit is a small, round or oval-shaped object with a thin skin that can be red, green, or other various colors, and is often eaten as a healthy snack or used in pies and desserts. It grows on trees and has a crunchy texture and sweet taste, with seeds inside its core.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,9,0,"This popular fruit is known for its round, juicy body, typically red, green, or sometimes yellow in color, with a thin skin that's often eaten fresh or used in various culinary preparations. It's also famous for its seeds, which contain a sweet, pulpy substance that's extracted and enjoyed as a refreshing beverage around the world.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,10,0,"The object is a round, typically red or green fruit that grows on trees, often eaten fresh or used in various products such as juices, pies, and computers. It has a thin skin with a crunchy texture on the outside and a sweet, juicy pulp inside, with seeds embedded in its core.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,11,0,"The fruit is a small, round or oval-shaped, often red, juicy, and sweet edible product that grows on trees, typically harvested between September and November. It's a popular ingredient used in various desserts, salads, and snacks, and is also known for its health benefits and versatility in both sweet and savory dishes.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,12,0,"The object is a popular, round, fruit-bearing tree that originated in Central Asia and is now cultivated worldwide for its sweet, edible pulp and seeds. Its skin typically ranges from green to red, depending on the variety, and is often associated with a crunchy texture and juicy interior.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,13,0,"This popular, round fruit is typically red or green in color and has a fuzzy outer layer, with a crunchy interior that contains seeds. It's often eaten fresh or used in a variety of products, from juices to baked goods, and is widely cultivated in many parts of the world.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,14,0,"This popular fruit is known for its crunchy texture, juicy pulp, and sweet taste, often eaten as a snack or used in various desserts, salads, and smoothies. It's typically round in shape, with a thin skin that's often red, but can also be green, yellow, or a combination of these colors depending on the variety.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,15,0,"A popular, round, and juicy fruit with a thin skin that comes in a variety of colors, is often eaten fresh or used in pies, salads, and other desserts. It's also a well-known brand name for a technology company, and its logo is often recognized worldwide as a symbol of innovation and style.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,16,0,"The object is a widely recognized, red or green fruit with a glossy skin and a crunchy texture, often eaten as a healthy snack or used in various culinary dishes. It's typically round in shape and has a single stem attached to its top, surrounded by a group of seeds on the inside.",Apple
llama-3.2-3b-instruct,High-Freq Concrete,Apple,17,0,"This popular fruit is known for its vibrant red skin, crisp white flesh, and sweet taste, often eaten as a snack or used in various desserts and salads. It is typically round in shape, with a distinctive stem attached to the top, and has a wide range of varieties that come in different colors such as green, yellow, and purple.",Apple
