Low-Freq Concrete,High-Freq Abstract,Low-Freq Abstract
Abacus,Ability,Aberration
Accordion,Action,Acrimony
Acorn,Advice,Adulation
Anvil,Age,Affluence
Archipelago,Agreement,Alacrity
Armadillo,Air,Allegory
Artichoke,Anger,Ambivalence
Asparagus,Answer,Amnesty
Awl,Art,Anarchy
Bagpipe,Attention,Animosity
Banjo,Authority,Anomaly
Barnacle,Beauty,Apathy
Barometer,Belief,Apex
Basilisk,Benefit,Aptitude
Bassoon,Business,Arrogance
Baton,Care,Atonement
Beaker,Case,Atrophy
Beaver,Cause,Audacity
Bellows,Chance,Avarice
Beret,Change,Aversion
Bifocals,Choice,Banal
Biscuit,City,Bane
Blimp,Class,Benevolence
Bonnet,Color,Bias
Boomerang,Comfort,Bigotry
Bouquet,Company,Blasphemy
Bramble,Condition,Brevity
Brocade,Control,Calamity
Buckle,Cost,Candor
Bungalow,Country,Catharsis
Cactus,Course,Censure
Cauldron,Credit,Chaos
Cello,Culture,Charisma
Centipede,Danger,Chivalry
Chalice,Data,Clemency
Chandelier,Date,Coercion
Chariot,Death,Collusion
Chisel,Decision,Complacency
Chrysanthemum,Degree,Concord
Clarinet,Design,Consensus
Cleaver,Desire,Contempt
Cobweb,Detail,Conundrum
Cockroach,Difference,Credulity
Colander,Direction,Dearth
Compass,Discussion,Debacle
Corset,Disease,Decorum
Coyote,Doubt,Decree
Crayfish,Dream,Deference
Crowbar,Duty,Delusion
Crucible,Economy,Demise
Cuckoo,Effect,Depravity
Curio,Effort,Derision
Cutlass,Energy,Despair
Cymbal,Error,Destiny
Dagger,Event,Detriment
Dandelion,Example,Devotion
Decanter,Experience,Dilemma
Dirigible,Fact,Discord
Dodo,Failure,Disdain
Dragonfly,Faith,Dissent
Drawbridge,Family,Dogma
Dumbbell,Fear,Drudgery
Dynamite,Feeling,Duplicity
Easel,Force,Ebullience
Eclair,Form,Ecstasy
Emus,Freedom,Edict
Epaulet,Friendship,Efficacy
Ermine,Fun,Ego
Espadrille,Future,Elation
Falcon,Game,Elegance
Fedora,Goal,Empathy
Fez,Government,Enigma
Fiddle,Group,Enmity
Figurine,Growth,Ennui
Flute,Happiness,Epiphany
Fresco,Hate,Equity
Fuselage,Health,Essence
Gable,Help,Euphoria
Gadget,History,Exodus
Galleon,Hope,Expediency
Gargoyle,Idea,Fallacy
Gauntlet,Image,Fame
Gazebo,Impact,Famine
Geode,Industry,Fatigue
Gerbil,Information,Feud
Geyser,Interest,Fidelity
Gimlet,Issue,Finesse
Glacier,Job,Flattery
Glider,Joy,Folly
Gnome,Justice,Fortitude
Goblet,Knowledge,Frenzy
Gondola,Law,Friction
Gong,Level,Frugality
Gopher,Life,Futility
Gorilla,Line,Gallantry
,Love,Gambit
,Luck,Genesis
,Market,Glamour
,Matter,Gluttony
,Meaning,Gratitude
